epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,230.499,2.44578,0.58279,0.00713,0.53962,0.53956,0.51952,0.2424,1.56198,0.28501,0.01184,0.00598729,0.00199576,0.00598729,0.00199576,0.0860297,0.0820381,0.00598729,0.00199576
2,363.165,1.96206,0.31559,0.00536,0.74443,0.67241,0.75504,0.43863,1.35101,0.17757,0.01046,0.0119082,0.00396939,0.0119082,0.00396939,0.0719505,0.0640118,0.0119082,0.00396939
3,479.093,1.80181,0.22835,0.00519,0.8481,0.74358,0.83164,0.53553,1.32584,0.13735,0.01066,0.0177499,0.00591662,0.0177499,0.00591662,0.0577922,0.045959,0.0177499,0.00591662
4,588.791,1.70612,0.18613,0.00509,0.86197,0.8261,0.90451,0.54784,1.37037,0.13777,0.01127,0.0235123,0.00783745,0.0235123,0.00783745,0.0435547,0.0278798,0.0235123,0.00783745
5,695.32,1.67076,0.16434,0.00485,0.86965,0.80537,0.87458,0.60166,1.25083,0.1041,0.01046,0.0291956,0.00973187,0.0291956,0.00973187,0.029238,0.00977425,0.0291956,0.00973187
6,800.403,1.60627,0.15242,0.00498,0.92963,0.83052,0.93068,0.62789,1.30026,0.10024,0.01158,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,905.564,1.5454,0.1355,0.0046,0.90983,0.90463,0.954,0.6856,1.16876,0.09172,0.01076,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1010.81,1.53276,0.12682,0.0046,0.9323,0.87469,0.94088,0.67038,1.17149,0.08574,0.01011,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1116.67,1.45182,0.11455,0.00432,0.93873,0.8999,0.95489,0.70539,1.17217,0.0738,0.0105,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1220.47,1.43358,0.1083,0.00439,0.96042,0.95452,0.98936,0.74975,1.09953,0.06999,0.01007,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
